source,target,contact
N0,N1,yes
N3,N4,yes
N3,N5,yes
N3,N6,yes
N3,N7,yes
N3,N8,yes
N3,N9,yes
N4,N5,yes
N4,N6,yes
N4,N7,yes
N4,N8,yes
N4,N9,yes
N5,N6,yes
N5,N7,yes
N5,N8,yes
N5,N9,yes
N5,N11,yes
N5,N12,yes
N5,N13,yes
N5,N28,yes
N6,N7,yes
N6,N8,yes
N6,N9,yes
N7,N8,yes
N7,N9,yes
N8,N9,yes
N11,N12,yes
N11,N13,yes
N11,N28,yes
N12,N13,yes
N13,N28,yes
N13,N145,yes
N14,N101,yes
N15,N79,yes
N15,N83,yes
N15,N119,yes
N15,N152,yes
N16,N17,yes
N18,N22,yes
N18,N34,yes
N18,N78,yes
N18,N103,yes
N18,N108,yes
N18,N132,yes
N18,N146,yes
N22,N73,yes
N22,N74,yes
N22,N78,yes
N25,N26,yes
N25,N88,yes
N26,N88,yes
N27,N136,yes
N27,N138,yes
N34,N153,yes
N36,N91,yes
N36,N92,yes
N37,N105,yes
N37,N117,yes
N37,N127,yes
N37,N129,yes
N37,N130,yes
N37,N131,yes
N37,N133,yes
N37,N134,yes
N44,N147,yes
N45,N89,yes
N45,N94,yes
N47,N123,yes
N59,N60,yes
N73,N74,yes
N79,N83,yes
N80,N81,yes
N80,N82,yes
N81,N82,yes
N85,N87,yes
N86,N87,yes
N89,N94,yes
N91,N92,yes
N106,N107,yes
N109,N111,yes
N113,N116,yes
N121,N147,yes
N148,N149,yes
