source,target,weight
N0,N1,1
N0,N2,1
N1,N2,1
N3,N4,1
N3,N5,1
N3,N6,1
N3,N7,1
N3,N8,1
N3,N9,1
N4,N5,1
N4,N6,1
N4,N7,1
N4,N8,1
N4,N9,1
N5,N6,2
N5,N7,1
N5,N8,1
N5,N9,1
N6,N7,1
N6,N8,1
N6,N9,1
N7,N8,1
N7,N9,1
N8,N9,1
N10,N11,1
N10,N12,1
N10,N13,1
N10,N14,1
N10,N68,1
N11,N3,1
N11,N5,1
N11,N6,1
N11,N12,10
N11,N13,3
N11,N14,2
N11,N18,1
N11,N25,5
N11,N28,1
N11,N68,2
N11,N85,1
N12,N3,1
N12,N5,1
N12,N6,1
N12,N13,3
N12,N14,2
N12,N18,2
N12,N21,1
N12,N25,5
N12,N28,1
N12,N68,2
N12,N84,1
N12,N85,2
N12,N86,1
N12,N87,1
N13,N14,2
N13,N68,2
N13,N85,1
N14,N68,2
N14,N85,1
N16,N17,1
N18,N19,2
N18,N20,1
N18,N21,1
N18,N22,6
N18,N23,2
N18,N25,2
N18,N27,1
N18,N29,4
N18,N31,1
N18,N34,2
N18,N35,1
N18,N43,1
N18,N47,1
N18,N59,1
N18,N60,1
N18,N63,1
N18,N64,2
N18,N65,1
N18,N71,1
N18,N76,1
N19,N20,1
N19,N23,1
N19,N25,1
N19,N32,1
N19,N33,2
N19,N34,1
N19,N35,1
N19,N88,1
N22,N23,2
N22,N29,2
N22,N30,1
N22,N31,2
N22,N59,1
N22,N60,1
N22,N63,2
N22,N72,2
N22,N75,2
N22,N76,11
N22,N77,2
N22,N78,1
N22,N98,1
N22,N99,1
N23,N24,1
N23,N25,2
N23,N34,2
N23,N35,1
N25,N5,1
N25,N6,1
N25,N26,1
N25,N27,1
N25,N28,1
N25,N34,2
N25,N35,1
N26,N27,1
N27,N29,5
N27,N43,5
N27,N45,5
N27,N47,7
N27,N51,4
N27,N61,1
N27,N64,1
N27,N68,5
N27,N70,4
N27,N89,4
N27,N97,1
N28,N5,1
N28,N6,1
N29,N30,1
N29,N43,4
N29,N47,2
N29,N51,2
N29,N54,1
N29,N64,5
N29,N68,1
N29,N71,1
N29,N75,1
N29,N76,1
N32,N33,1
N33,N88,1
N34,N35,1
N36,N45,2
N36,N46,1
N36,N47,3
N36,N48,2
N36,N61,1
N36,N68,1
N36,N91,1
N36,N92,1
N39,N40,1
N39,N41,1
N39,N42,1
N39,N47,1
N39,N48,1
N39,N49,1
N39,N50,1
N40,N41,1
N40,N42,1
N41,N42,1
N43,N47,4
N43,N51,1
N43,N61,1
N43,N64,2
N43,N68,1
N45,N46,1
N45,N47,9
N45,N48,3
N45,N50,1
N45,N51,5
N45,N54,1
N45,N55,1
N45,N68,4
N45,N89,4
N45,N94,1
N46,N47,1
N46,N48,1
N47,N48,8
N47,N49,1
N47,N50,10
N47,N51,5
N47,N54,1
N47,N55,1
N47,N68,2
N47,N89,4
N47,N90,2
N47,N93,1
N48,N49,1
N48,N50,4
N48,N51,3
N48,N68,1
N48,N89,3
N48,N93,3
N48,N95,1
N49,N50,1
N50,N51,5
N50,N89,3
N50,N90,2
N51,N52,1
N51,N54,1
N51,N89,4
N51,N96,1
N52,N96,2
N54,N68,1
N54,N70,2
N56,N57,1
N61,N62,1
N61,N66,1
N61,N67,1
N63,N64,3
N63,N72,2
N64,N68,1
N68,N69,1
N68,N70,4
N68,N79,1
N68,N83,1
N68,N85,1
N68,N89,7
N68,N97,1
N70,N89,7
N70,N93,4
N70,N97,1
N73,N74,1
N75,N76,1
N75,N77,1
N76,N77,2
N76,N78,1
N76,N98,1
N79,N80,1
N79,N81,1
N79,N82,1
N79,N83,1
N80,N81,1
N80,N82,1
N81,N82,1
N84,N85,1
N84,N86,1
N84,N87,1
N85,N86,1
N85,N87,1
N86,N87,1
N89,N93,8
N89,N94,1
N89,N95,1
N91,N92,1
N93,N95,1
N100,N18,1
N100,N23,1
N100,N25,1
N100,N34,1
