id,status
N0,non-disclosured
N1,non-disclosured
N2,non-disclosured
N3,non-disclosured
N4,non-disclosured
N5,non-disclosured
N6,non-disclosured
N7,non-disclosured
N8,non-disclosured
N9,non-disclosured
N10,non-disclosured
N11,non-disclosured
N12,arrested
N13,non-disclosured
N14,arrest request denied
N15,non-disclosured
N16,non-disclosured
N17,non-disclosured
N18,arrested
N19,arrested
N20,fugitive
N21,arrested
N22,arrested
N23,arrested
N24,non-disclosured
N25,arrested
N26,non-disclosured
N27,arrested
N28,non-disclosured
N29,arrested
N30,non-disclosured
N31,non-disclosured
N32,non-disclosured
N33,arrested
N34,non-disclosured
N35,non-disclosured
N36,arrested
N37,non-disclosured
N38,non-disclosured
N39,non-disclosured
N40,non-disclosured
N41,non-disclosured
N42,non-disclosured
N43,arrested
N44,non-disclosured
N45,arrested
N46,non-disclosured
N47,arrested
N48,arrested
N49,house arrest
N50,arrested
N51,arrested
N52,arrested
N53,non-disclosured
N54,arrested
N55,non-disclosured
N56,arrest request denied
N57,uninvolved
N58,non-disclosured
N59,non-disclosured
N60,non-disclosured
N61,arrested
N62,arrested
N63,arrested
N64,enterpreneur
N65,non-disclosured
N66,arrested
N67,arrested
N68,arrested
N69,non-disclosured
N70,arrested
N71,non-disclosured
N72,lack of evidence
N73,non-disclosured
N74,non-disclosured
N75,arrested
N76,arrested
N77,arrested
N78,non-disclosured
N79,non-disclosured
N80,arrested
N81,non-disclosured
N82,non-disclosured
N83,non-disclosured
N84,non-disclosured
N85,arrested
N86,non-disclosured
N87,non-disclosured
N88,non-disclosured
N89,arrested
N90,non-disclosured
N91,non-disclosured
N92,non-disclosured
N93,non-disclosured
N94,non-disclosured
N95,non-disclosured
N96,arrested
N97,arrested
N98,arrest request denied
N99,arrested
N100,non-disclosured
N101,non-disclosured
N102,arrest request denied
N103,non-disclosured
N104,non-disclosured
N105,non-disclosured
N106,non-disclosured
N107,non-disclosured
N108,non-disclosured
N109,non-disclosured
N110,non-disclosured
N111,non-disclosured
N112,non-disclosured
N113,non-disclosured
N114,non-disclosured
N115,non-disclosured
N116,non-disclosured
N117,non-disclosured
N118,non-disclosured
N119,non-disclosured
N120,non-disclosured
N121,non-disclosured
N122,non-disclosured
N123,non-disclosured
N124,non-disclosured
N125,non-disclosured
N126,non-disclosured
N127,non-disclosured
N128,arrested
N129,non-disclosured
N130,non-disclosured
N131,non-disclosured
N132,non-disclosured
N133,non-disclosured
N134,non-disclosured
N135,non-disclosured
N136,non-disclosured
N137,non-disclosured
N138,non-disclosured
N139,non-disclosured
N140,non-disclosured
N141,non-disclosured
N142,non-disclosured
N143,non-disclosured
N144,non-disclosured
N145,non-disclosured
N146,non-disclosured
N147,non-disclosured
N148,non-disclosured
N149,in jail
N150,in jail
N151,arrested
N152,non-disclosured
N153,non-disclosured
N154,arrest request denied
