id,role
N0,cooperating witness
N1,non-disclosured
N2,boss 'Barcellona Pozzo di Gotto'
N3,boss 'Caltagirone'
N4,enterpreneur
N5,non-disclosured
N6,non-disclosured
N7,non-disclosured
N8,non-disclosured
N9,non-disclosured
N10,enterpreneur
N11,boss 'Cosa Nostra' in Messina
N12,member 'Mistretta'
N13,enterpreneur
N14,boss 'Mazzaroti'
N15,non-disclosured
N16,boss 'Brancaccio'
N17,non-disclosured
N18,executive 'Mistretta'
N19,external partner
N20,non-disclosured
N21,enterpreneur
N22,pharmacist-member
N23,executive non-disclosured
N24,external partner
N25,executive 'Mistretta'
N26,member 'San Mauro Castelverde'
N27,executive 'Batanesi'
N28,non-disclosured
N29,enterpreneur
N30,non-disclosured
N31,enterpreneur
N32,member 'Mistretta'
N33,external partner
N34,non-disclosured
N35,non-disclosured
N36,fugitive aider
N37,non-disclosured
N38,non-disclosured
N39,executive 'Batanesi'
N40,member 'Mazzaroti'
N41,member 'Mazzaroti'
N42,boss 'Tortorici'
N43,intermediator
N44,non-disclosured
N45,member 'Batanesi'
N46,boss 'Tortorici'
N47,boss 'Batanesi'
N48,member 'Batanesi'
N49,member 'Batanesi'
N50,member 'Batanesi'
N51,member 'Batanesi'
N52,enterpreneur
N53,non-disclosured
N54,enterpreneur
N55,member 'Barcellona Pozzo di Gotto'
N56,inmate wife
N57,inmate daughter
N58,non-disclosured
N59,enterpreneur
N60,non-disclosured
N61,executive 'Mistretta'
N62,enterpreneur
N63,enterpreneur
N64,enterpreneur
N65,enterpreneur
N66,enterpreneur
N67,enterpreneur
N68,executive 'Batanesi'
N69,enterpreneur
N70,member 'Batanesi'
N71,enterpreneur
N72,construction worker
N73,non-disclosured
N74,non-disclosured
N75,member 'Mistretta'
N76,enterpreneur/external partner
N77,member 'Mistretta'
N78,non-disclosured
N79,enterpreneur/external partner
N80,enterpreneur
N81,non-disclosured
N82,non-disclosured
N83,non-disclosured
N84,enterpreneur/external partner
N85,enterpreneur/external partner
N86,enterpreneur
N87,enterpreneur
N88,non-disclosured
N89,member 'Batanesi'
N90,member 'Batanesi'
N91,car electrician
N92,lawyer
N93,non-disclosured
N94,non-disclosured
N95,member 'Batanesi'
N96,enterpreneur
N97,member 'Batanesi'
N98,non-disclosured
N99,external partner
N100,farmer/external partner
N101,non-disclosured
N102,non-disclosured
N103,non-disclosured
N104,enterpreneur
N105,land owner
N106,non-disclosured
N107,bar owner
N108,walking fishmonger
N109,enterpreneur
N110,external partner
N111,non-disclosured
N112,external partner
N113,external partner
N114,road haulier/external partner
N115,road haulier/external partner
N116,accountant
N117,non-disclosured
N118,external partner
N119,phone owner lent to another
N120,non-disclosured
N121,phone owner lent to another
N122,non-disclosured
N123,non-disclosured
N124,non-disclosured
N125,member 'Batanesi'
N126,non-disclosured
N127,non-disclosured
N128,enterpreneur
N129,non-disclosured
N130,non-disclosured
N131,non-disclosured
N132,non-disclosured
N133,city employee
N134,non-disclosured
N135,non-disclosured
N136,non-disclosured
N137,enterpreneur
N138,lawyer
N139,enterpreneur
N140,enterpreneur
N141,non-disclosured
N142,non-disclosured
N143,member 'Mistretta'
N144,member 'Mistretta'
N145,non-disclosured
N146,non-disclosured
N147,non-disclosured
N148,non-disclosured
N149,co-founder 'Batanesi'
N150,non-disclosured
N151,member 'Batanesi'
N152,non-disclosured
N153,car salesman
N154,non-disclosured
