Node,Role
N0,cooperating witness
N2,boss family ''Barcellona Pozzo di Gotto''
N3,boss family ''Caltagirone''
N4,enterpreneur
N10,enterpreneur
N11,boss Cosa Nostra in Messina
N12,member family ''Mistretta''
N13,enterpreneur
N14,boss family ''Mazzaroti''
N16,boss family ''Brancaccio''
N18,executive family ''Mistretta''
N21,enterpreneur
N22,Pharmacist-member
N23,executive family
N25,executive family ''Mistretta''
N26,member of family ''San Mauro Castelverde''
N27,executive family ''Batanesi''
N29,enterpreneur
N31,enterpreneur
N32,member family ''Mistretta''
N39,executive family ''Batanesi''
N40,member family ''Mazzaroti''
N41,member family ''Mazzaroti''
N42,boss family ''Tortorici''
N43,intermediator
N45,member family ''Batanesi''
N46,boss family ''Tortorici''
N47,deputy boss family ''Batanesi''
N48,member family ''Batanesi''
N49,member family ''Batanesi''
N50,member family ''Batanesi''
N51,member family ''Batanesi''
N52,enterpreneur
N54,enterpreneur
N55,member family ''Barcellona Pozzo di Gotto''
N59,enterpreneur
N61,executive family ''Mistretta''
N62,enterpreneur
N63,enterpreneur
N64,enterpreneur
N65,enterpreneur
N66,enterpreneur
N67,enterpreneur
N68,executive family ''Batanesi''
N69,enterpreneur
N70,member family ''Batanesi''
N71,enterpreneur
N72,construction worker
N75,member family ''Mistretta''
N76,enterpreneur
N77,member family ''Mistretta''
N79,enterpreneur
N80,enterpreneur
N84,enterpreneur
N85,enterpreneur
N86,enterpreneur
N87,enterpreneur
N89,member family ''Batanesi''
N90,member family ''Batanesi''
N91,car electrician
N92,lawyer
N95,member family ''Batanesi''
N96,enterpreneur
N97,member family ''Batanesi''
N100,farmer
N104,enterpreneur
N105,land owner
N107,bar owner
N108,walking fishmonger
N109,on-existent enterpreneur created during a scam
N114,road haulier
N115,road haulier
N116,accountant employee
N125,member family ''Batanesi''
N128,enterpreneur
N133,City employee
N137,enterpreneur
N138,lawyer
N139,enterpreneur
N140,enterpreneur
N143,member family ''Mistretta''
N144,member family ''Mistretta''
N149,Co-founder of family ''Batanesi''
N151,member family ''Batanesi''
