Node,Status
N12,arrested
N14,arrest request denied
N18,arrested
N19,arrested
N20,fugitive
N21,arrested
N22,arrested
N23,arrested
N25,arrested
N27,arrested
N29,arrested
N33,arrested
N36,arrested
N43,arrested
N45,arrested
N47,arrested
N48,arrested
N49,house arrest
N50,arrested
N51,arrested
N52,arrested
N54,arrested
N56,arrest request denied
N57,uninvolved
N61,arrested
N62,arrested
N63,arrested
N64,arrested
N66,arrested
N67,arrested
N68,arrested
N70,arrested
N72,lack of evidence
N75,arrested
N76,arrested
N77,arrested
N80,arrested
N85,arrested
N89,arrested
N96,arrested
N97,arrested
N98,arrest request denied
N99,arrested
N102,arrest request denied
N128,arrested
N149,in jail
N150,in jail
N151,arrested
N154,arrest request denied
